CD_MUN,NM_MUN,CNAE_section,MPI
4305116,Centenário,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012544941235189408
4305124,Cerrito,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01615752462750836
4305157,Cerro Grande,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010147368583335873
4305173,Cerro Grande do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010263380766794167
4305207,Cerro Largo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009622891736172848
4305306,Chapada,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015145678901725159
4305355,Charqueadas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.14376832540009982
4305371,Charrua,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.016723429617110767
4305405,Chiapetta,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010674937464956718
4305439,Chuí,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009078693415546672
4305447,Chuvisca,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.008253598746837232
4305454,Cidreira,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.007052908275451902
4305504,Ciríaco,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.015893970765584818
4305587,Colinas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.03508319329621096
4305603,Colorado,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.025791106473416817
4305702,Condor,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.020836620766448946
4305801,Constantina,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012049740759211601
4305835,Coqueiro Baixo,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01633449584852505
4305850,Coqueiros do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.019692414098039842
4305871,Coronel Barros,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01477753420622046
4305900,Coronel Bicaco,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010384210760697475
4305934,Coronel Pilar,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.030699209093741995
4305959,Cotiporã,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02218404748119085
4305975,Coxilha,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.02217908884205854
4306007,Crissiumal,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.011079364736263631
4306056,Cristal,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0057855284737561045
4306072,Cristal do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009580834005637306
4306106,Cruz Alta,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.010143140028674908
4306205,Cruzeiro do Sul,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04247210082010267
4306304,David Canabarro,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0176061170700003
4306320,Derrubadas,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005954853409668049
4306379,Dilermando de Aguiar,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005989383249625008
4306403,Dois Irmãos,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.04489789078386866
4306429,Dois Irmãos das Missões,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009468205321488602
4306452,Dois Lajeados,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.01873505779820542
4306502,Dom Feliciano,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.00719037870192297
4306551,Dom Pedro de Alcântara,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.005733069511725607
4306601,Dom Pedrito,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.0024579749747129288
4306700,Dona Francisca,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.009518451048933077
4306734,Doutor Maurício Cardoso,"Agricultura, pecuaria, producao florestal, pesca e aquicultura",0.012507253743878979
